Element Type,Number of Nodes,Number of Direct Stress,Number of Shear Stress,Number of Integration Points,Number of Degrees ofFreedom,Number of Coordinates,Updated Lagrange Available
138,3,2,1,1,6,3,Yes
9,2,1,0,1,2/3,2/3,Yes
7,8,3,3,8,3,3,Yes
